relative_delay_us,normalized_magnitude,magnitude_db,smoothed_magnitude
-4.000000000000000000e+03,9.319736808538436890e-02,-2.061192703247070312e+01,1.261559416659121247e-01
-3.996000000000000000e+03,1.513265967369079590e-01,-1.640169525146484375e+01,1.569625076873011060e-01
-3.992000000000000000e+03,2.048217952251434326e-01,-1.377247714996337891e+01,2.142396274663977418e-01
-3.988000000000000000e+03,1.097276881337165833e-01,-1.919367599487304688e+01,2.064142720055086033e-01
-3.984000000000000000e+03,2.040112465620040894e-01,-1.380691719055175781e+01,1.952553632670027406e-01
-3.980000000000000000e+03,6.532479822635650635e-02,-2.369844055175781250e+01,1.418644951673325716e-01
-3.976000000000000000e+03,1.115804836153984070e-01,-1.904823493957519531e+01,1.366115653998127843e-01
-3.972000000000000000e+03,1.465270854532718658e-02,-3.668164062500000000e+01,1.294367322653290908e-01
-3.968000000000000000e+03,9.101765602827072144e-02,-2.081748771667480469e+01,1.297490735144865015e-01
-3.964000000000000000e+03,1.784557253122329712e-01,-1.496939086914062500e+01,1.277573149658591811e-01
-3.960000000000000000e+03,6.643730401992797852e-02,-2.355175971984863281e+01,1.756573503328669461e-01
-3.956000000000000000e+03,1.044861823320388794e-01,-1.961882209777832031e+01,1.805774372601083866e-01
-3.952000000000000000e+03,1.852643936872482300e-01,-1.464416027069091797e+01,1.975185958486126159e-01
-3.948000000000000000e+03,1.085421591997146606e-01,-1.928803062438964844e+01,2.247544858632883336e-01
-3.944000000000000000e+03,2.387972176074981689e-01,-1.243941402435302734e+01,2.351629602257715168e-01
-3.940000000000000000e+03,1.634468585252761841e-01,-1.573246860504150391e+01,2.074782253060077075e-01
-3.936000000000000000e+03,1.415593773126602173e-01,-1.698122787475585938e+01,2.453196526253478005e-01
-3.932000000000000000e+03,8.665613085031509399e-02,-2.124401283264160156e+01,2.155686539358012410e-01
-3.928000000000000000e+03,2.433268129825592041e-01,-1.227620029449462891e+01,2.253897716230449932e-01
-3.924000000000000000e+03,1.328292787075042725e-01,-1.753412437438964844e+01,1.980231094451098683e-01
-3.920000000000000000e+03,1.984279900789260864e-01,-1.404794120788574219e+01,1.936582117134366121e-01
-3.916000000000000000e+03,4.408403486013412476e-02,-2.711437225341796875e+01,1.759640521279215164e-01
-3.912000000000000000e+03,7.110911607742309570e-02,-2.296149444580078125e+01,2.169211565155148846e-01
-3.908000000000000000e+03,1.803032606840133667e-01,-1.487992858886718750e+01,1.737196905905211142e-01
-3.904000000000000000e+03,2.787114381790161133e-01,-1.109690475463867188e+01,1.643478887216091311e-01
-3.900000000000000000e+03,4.455180093646049500e-02,-2.702269554138183594e+01,1.816925611284571085e-01
-3.896000000000000000e+03,1.070328895002603531e-02,-3.940965270996093750e+01,2.069635783154194220e-01
-3.892000000000000000e+03,1.328878551721572876e-01,-1.753029251098632812e+01,1.407637826561951577e-01
-3.888000000000000000e+03,2.703142762184143066e-01,-1.136262035369873047e+01,1.479465321534578492e-01
-3.884000000000000000e+03,4.291915521025657654e-02,-2.734697532653808594e+01,1.628910141438067172e-01
-3.880000000000000000e+03,7.013551890850067139e-02,-2.308124160766601562e+01,1.702289145201454634e-01
-3.876000000000000000e+03,6.393296271562576294e-02,-2.388550186157226562e+01,1.554099728756810350e-01
-3.872000000000000000e+03,1.590241938829421997e-01,-1.597073554992675781e+01,1.836694081216304619e-01
-3.868000000000000000e+03,2.175317555665969849e-01,-1.324954605102539062e+01,2.290801793483756843e-01
-3.864000000000000000e+03,1.435744017362594604e-01,-1.685845947265625000e+01,2.396661354476036787e-01
-3.860000000000000000e+03,2.318808734416961670e-01,-1.269470119476318359e+01,2.233756330597862771e-01
-3.856000000000000000e+03,1.016383171081542969e-01,-1.985885047912597656e+01,1.874063706283086439e-01
-3.852000000000000000e+03,1.010002270340919495e-01,-1.991355323791503906e+01,1.867215576598008908e-01
-3.848000000000000000e+03,8.941543102264404297e-02,-2.097175216674804688e+01,1.642618208938196878e-01
-3.844000000000000000e+03,1.411352157592773438e-01,-1.700729179382324219e+01,1.721091756643526038e-01
-3.840000000000000000e+03,1.518831551074981689e-01,-1.636980819702148438e+01,1.626414045002937125e-01
-3.836000000000000000e+03,1.295892447233200073e-01,-1.774862098693847656e+01,1.699519380450198736e-01
