subband,center_frequency_hz,average_gain_db
0,-117187.5,-24.973397953538484
1,-101562.5,-20.635354192295022
2,-85937.5,-20.96072946306146
3,-70312.5,-20.155719840336207
4,-54687.5,-19.94018726249065
5,-39062.5,-19.421262283682857
6,-23437.5,-19.76746622306173
7,-7812.5,-19.43151729851058
8,7812.5,-18.65636318366031
9,23437.5,-20.033006391404324
10,39062.5,-19.382933118929476
11,54687.5,-20.236498134351912
12,70312.5,-20.475669659002506
13,85937.5,-20.56037425937928
14,101562.5,-21.695190911423325
15,117187.5,-25.996053085576577
